Time,x_d,y_d,theta_d,v_r_d,v_l_d
11.159299,0.360205,-0.608559,-2.216655,0.098632,0.142704
11.209341,0.356551,-0.613386,-2.220774,0.099719,0.142907
11.259383,0.352858,-0.618225,-2.22481,0.100795,0.143111
11.309425,0.349126,-0.623073,-2.228765,0.101858,0.143318
11.359466,0.345355,-0.627932,-2.23264,0.102909,0.143526
11.409508,0.341547,-0.632801,-2.236436,0.103948,0.143735
11.45955,0.337701,-0.637681,-2.240154,0.104975,0.143946
11.509591,0.333818,-0.64257,-2.243795,0.10599,0.144157
11.559633,0.329899,-0.647469,-2.247361,0.106993,0.144368
11.609675,0.325943,-0.652378,-2.250853,0.107984,0.14458
11.659716,0.321951,-0.657296,-2.254272,0.108963,0.144791
11.709758,0.317924,-0.662224,-2.257619,0.10993,0.145002
11.7598,0.313862,-0.667161,-2.260896,0.110885,0.145213
11.809842,0.309766,-0.672107,-2.264102,0.111828,0.145422
11.859883,0.305635,-0.677062,-2.26724,0.112759,0.14563
11.909925,0.301471,-0.682026,-2.27031,0.113678,0.145837
11.959967,0.297274,-0.686999,-2.273313,0.114585,0.146042
12.010008,0.293044,-0.69198,-2.27625,0.115481,0.146245
12.06005,0.288782,-0.69697,-2.279123,0.116364,0.146446
12.110092,0.284488,-0.701968,-2.281931,0.117236,0.146645
12.160133,0.280163,-0.706974,-2.284677,0.118096,0.146841
12.210175,0.275808,-0.711988,-2.28736,0.118944,0.147034
12.260217,0.271422,-0.717011,-2.289981,0.11978,0.147224
12.310259,0.267006,-0.722041,-2.292542,0.120604,0.147411
12.3603,0.262561,-0.727078,-2.295044,0.121417,0.147594
12.410342,0.258087,-0.732123,-2.297486,0.122217,0.147773
12.460384,0.253584,-0.737176,-2.29987,0.123007,0.147949
12.510425,0.249054,-0.742236,-2.302196,0.123784,0.14812
12.560467,0.244496,-0.747302,-2.304466,0.12455,0.148288
12.610509,0.239912,-0.752376,-2.306679,0.125303,0.14845
12.66055,0.235301,-0.757457,-2.308837,0.126046,0.148608
12.710592,0.230664,-0.762544,-2.31094,0.126776,0.148761
12.760634,0.226002,-0.767638,-2.312989,0.127495,0.148909
12.810676,0.221316,-0.772738,-2.314984,0.128203,0.149052
12.860717,0.216605,-0.777844,-2.316926,0.128898,0.149189
12.910759,0.21187,-0.782956,-2.318816,0.129582,0.149321
12.960801,0.207111,-0.788075,-2.320654,0.130255,0.149447
13.010842,0.202331,-0.793199,-2.32244,0.130916,0.149568
